Date,Content type,Views,Subscribers gained
2017-01-24,Other,71,0
2017-01-25,Other,69,0
2017-01-26,Other,67,0
2017-01-27,Other,55,0
2017-01-28,Other,93,1
2017-01-29,Other,83,1
2017-01-30,Other,64,0
2017-01-31,Other,48,0
2017-02-01,Other,69,0
2017-02-02,Other,58,0
2017-02-03,Other,72,0
2017-02-04,Other,89,0
2017-02-05,Other,93,1
2017-02-06,Other,60,0
2017-02-07,Other,34,0
2017-02-08,Other,49,0
2017-02-09,Other,39,1
2017-02-10,Other,52,0
2017-02-11,Other,56,0
2017-02-12,Other,52,0
2017-02-13,Other,37,0
2017-02-14,Other,43,0
2017-02-15,Other,44,0
2017-02-16,Other,48,2
2017-02-17,Other,37,0
2017-02-18,Other,50,0
2017-02-19,Other,32,0
2017-02-20,Other,45,2
2017-02-21,Other,42,0
2017-02-22,Other,39,0
2017-02-23,Other,47,0
2017-02-24,Other,38,0
2017-02-25,Other,46,0
2017-02-26,Other,41,0
2017-02-27,Other,26,0
2017-02-28,Other,48,0
2017-03-01,Other,26,0
2017-03-02,Other,35,0
2017-03-03,Other,25,0
2017-03-04,Other,45,0
2017-03-05,Other,49,0
2017-03-06,Other,32,0
2017-03-07,Other,35,0
2017-03-08,Other,164,0
2017-03-09,Other,168,1
2017-03-10,Other,373,3
2017-03-11,Other,136,0
2017-03-12,Other,87,0
2017-03-13,Other,55,0
2017-03-14,Other,72,0
2017-03-15,Other,68,0
2017-03-16,Other,46,0
2017-03-17,Other,60,0
2017-03-18,Other,61,0
2017-03-19,Other,69,0
2017-03-20,Other,50,0
2017-03-21,Other,42,1
2017-03-22,Other,56,0
2017-03-23,Other,44,0
2017-03-24,Other,59,0
2017-03-25,Other,67,0
2017-03-26,Other,76,0
2017-03-27,Other,47,0
2017-03-28,Other,51,0
2017-03-29,Other,52,0
2017-03-30,Other,58,0
2017-03-31,Other,50,0
2017-04-01,Other,74,0
2017-04-02,Other,90,1
2017-04-03,Other,59,0
2017-04-04,Other,56,0
2017-04-05,Other,64,0
2017-04-06,Other,70,1
2017-04-07,Other,75,0
2017-04-08,Other,77,0
2017-04-09,Other,67,0
2017-04-10,Other,70,0
2017-04-11,Other,78,0
2017-04-12,Other,59,1
2017-04-13,Other,67,0
2017-04-14,Other,61,0
2017-04-15,Other,71,0
2017-04-16,Other,79,0
2017-04-17,Other,68,0
2017-04-18,Other,68,0
2017-04-19,Other,65,0
2017-04-20,Other,56,0
2017-04-21,Other,54,0
2017-04-22,Other,65,0
2017-04-23,Other,64,0
2017-04-24,Other,51,0
2017-04-25,Other,53,0
2017-04-26,Other,71,1
2017-04-27,Other,71,0
2017-04-28,Other,62,0
2017-04-29,Other,82,0
2017-04-30,Other,87,0
2017-05-01,Other,49,0
2017-05-02,Other,46,0
2017-05-03,Other,59,0
2017-05-04,Other,47,0
2017-05-05,Other,62,0
2017-05-06,Other,97,0
2017-05-07,Other,75,0
2017-05-08,Other,63,1
2017-05-09,Other,56,0
2017-05-10,Other,61,0
2017-05-11,Other,58,1
2017-05-12,Other,63,0
2017-05-13,Other,92,0
2017-05-14,Other,56,0
2017-05-15,Other,64,0
2017-05-16,Other,46,0
2017-05-17,Other,51,0
2017-05-18,Other,65,0
2017-05-19,Other,62,0
2017-05-20,Other,81,0
2017-05-21,Other,82,1
2017-05-22,Other,56,0
2017-05-23,Other,73,0
2017-05-24,Other,61,0
2017-05-25,Other,64,0
2017-05-26,Other,73,0
2017-05-27,Other,67,0
2017-05-28,Other,76,0
2017-05-29,Other,81,0
2017-05-30,Other,64,0
2017-05-31,Other,57,0
2017-06-01,Other,80,1
2017-06-02,Other,80,1
2017-06-03,Other,86,0
2017-06-04,Other,96,0
2017-06-05,Other,56,0
2017-06-06,Other,82,0
2017-06-07,Other,66,0
2017-06-08,Other,74,0
2017-06-09,Other,104,0
2017-06-10,Other,69,1
2017-06-11,Other,83,1
2017-06-12,Other,79,0
2017-06-13,Other,62,0
2017-06-14,Other,66,0
2017-06-15,Other,58,0
2017-06-16,Other,61,0
2017-06-17,Other,95,0
2017-06-18,Other,105,0
2017-06-19,Other,79,0
2017-06-20,Other,79,15
2017-06-21,Other,72,14
2017-06-22,Other,73,10
2017-06-23,Other,88,5
2017-06-24,Other,93,0
2017-06-25,Other,100,0
2017-06-26,Other,98,38
2017-06-27,Other,97,33
2017-06-28,Other,96,30
2017-06-29,Other,94,35
2017-06-30,Other,102,39
2017-07-01,Other,85,10
2017-07-02,Other,96,8
2017-07-03,Other,77,42
2017-07-04,Other,77,8
2017-07-05,Other,75,0
2017-07-06,Other,68,0
2017-07-07,Other,94,1
2017-07-08,Other,89,0
2017-07-09,Other,91,0
2017-07-10,Other,81,0
2017-07-11,Other,73,8
2017-07-12,Other,72,0
2017-07-13,Other,92,0
2017-07-14,Other,91,3
2017-07-15,Other,94,0
2017-07-16,Other,85,0
2017-07-17,Other,69,1
2017-07-18,Other,73,0
2017-07-19,Other,80,1
2017-07-20,Other,82,0
2017-07-21,Other,73,0
2017-07-22,Other,94,0
2017-07-23,Other,95,0
2017-07-24,Other,83,0
2017-07-25,Other,86,0
2017-07-26,Other,79,0
2017-07-27,Other,66,7
2017-07-28,Other,100,0
2017-07-29,Other,105,4
2017-07-30,Other,90,0
2017-07-31,Other,88,0
2017-08-01,Other,76,8
2017-08-02,Other,70,0
2017-08-03,Other,62,0
2017-08-04,Other,71,1
2017-08-05,Other,89,1
2017-08-06,Other,110,20
2017-08-07,Other,97,10
2017-08-08,Other,96,0
2017-08-09,Other,72,0
2017-08-10,Other,62,6
2017-08-11,Other,64,0
2017-08-12,Other,79,0
2017-08-13,Other,76,0
2017-08-14,Other,71,0
2017-08-15,Other,71,0
2017-08-16,Other,79,0
2017-08-17,Other,86,0
2017-08-18,Other,77,0
2017-08-19,Other,86,0
2017-08-20,Other,64,0
2017-08-21,Other,73,0
2017-08-22,Other,67,1
2017-08-23,Other,76,0
2017-08-24,Other,86,0
2017-08-25,Other,78,0
2017-08-26,Other,104,0
2017-08-27,Other,87,0
2017-08-28,Other,73,0
2017-08-29,Other,83,0
2017-08-30,Other,52,0
2017-08-31,Other,72,1
2017-09-01,Other,80,0
2017-09-02,Other,82,0
2017-09-03,Other,86,0
2017-09-04,Other,79,0
2017-09-05,Other,72,0
2017-09-06,Other,74,0
2017-09-07,Other,54,0
2017-09-08,Other,81,0
2017-09-09,Other,106,0
2017-09-10,Other,124,0
2017-09-11,Other,72,0
2017-09-12,Other,81,0
2017-09-13,Other,77,0
2017-09-14,Other,63,0
2017-09-15,Other,78,0
2017-09-16,Other,86,0
2017-09-17,Other,104,0
2017-09-18,Other,74,0
2017-09-19,Other,58,0
2017-09-20,Other,48,0
2017-09-21,Other,56,0
2017-09-22,Other,73,0
2017-09-23,Other,84,0
2017-09-24,Other,86,1
2017-09-25,Other,53,0
2017-09-26,Other,62,0
2017-09-27,Other,48,0
2017-09-28,Other,54,0
2017-09-29,Other,56,0
2017-09-30,Other,89,0
2017-10-01,Other,89,0
2017-10-02,Other,56,0
2017-10-03,Other,40,0
2017-10-04,Other,66,1
2017-10-05,Other,61,0
2017-10-06,Other,69,1
2017-10-07,Other,105,23
2017-10-08,Other,125,0
2017-10-09,Other,91,0
2017-10-10,Other,54,0
2017-10-11,Other,54,0
2017-10-12,Other,70,0
2017-10-13,Other,77,1
2017-10-14,Other,83,0
2017-10-15,Other,57,1
2017-10-16,Other,50,0
2017-10-17,Other,53,0
2017-10-18,Other,61,0
2017-10-19,Other,52,0
2017-10-20,Other,67,0
2017-10-21,Other,89,0
2017-10-22,Other,89,0
2017-10-23,Other,65,0
2017-10-24,Other,48,0
2017-10-25,Other,65,0
2017-10-26,Other,39,0
2017-10-27,Other,69,0
2017-10-28,Other,57,0
2017-10-29,Other,73,0
2017-10-30,Other,49,0
2017-10-31,Other,55,0
2017-11-01,Other,38,0
2017-11-02,Other,49,0
2017-11-03,Other,55,0
2017-11-04,Other,95,0
2017-11-05,Other,95,0
2017-11-06,Other,59,0
2017-11-07,Other,48,0
2017-11-08,Other,49,0
2017-11-09,Other,58,0
2017-11-10,Other,72,1
2017-11-11,Other,76,0
2017-11-12,Other,125,1
2017-11-13,Other,79,0
2017-11-14,Other,61,0
2017-11-15,Other,68,0
2017-11-16,Other,70,0
2017-11-17,Other,79,0
2017-11-18,Other,89,0
2017-11-19,Other,94,0
2017-11-20,Other,151,0
2017-11-21,Other,131,0
2017-11-22,Other,157,1
2017-11-23,Other,178,1
2017-11-24,Other,118,0
2017-11-25,Other,131,0
2017-11-26,Other,116,0
2017-11-27,Other,317,1
2017-11-28,Other,267,0
2017-11-29,Other,104,0
2017-11-30,Other,108,0
2017-12-01,Other,122,0
2017-12-02,Other,139,1
2017-12-03,Other,144,1
2017-12-04,Other,71,0
2017-12-05,Other,71,0
2017-12-06,Other,72,0
2017-12-07,Other,67,0
2017-12-08,Other,262,0
2017-12-09,Other,206,0
2017-12-10,Other,153,0
2017-12-11,Other,94,1
2017-12-12,Other,77,0
2017-12-13,Other,74,15
2017-12-14,Other,70,13
2017-12-15,Other,65,0
2017-12-16,Other,99,0
2017-12-17,Other,88,1
2017-12-18,Other,94,0
2017-12-19,Other,73,1
2017-12-20,Other,81,0
2017-12-21,Other,82,1
2017-12-22,Other,91,0
2017-12-23,Other,94,0
